Designator,Mid X,Mid Y,Rotation,Layer
C10,127.8,-121.5,0.0,top
C11,121.7,-125.6,0.0,top
C12,117.8,-113.0,180.0,top
C13,147.5,-122.9,90.0,bottom
C14,143.8,-113.0,0.0,top
C15,119.6,-126.6,180.0,bottom
C17,121.2,-127.1,0.0,top
C18,145.98,-121.4,0.0,bottom
C19,146.3,-120.1,0.0,bottom
C2,138.4,-121.7,270.0,top
C20,143.2,-131.0,0.0,top
C21,121.6,-129.7,270.0,top
C22,136.3,-131.1,0.0,top
C23,138.85,-131.4,0.0,top
C24,122.0,-127.0,180.0,bottom
C25,115.2,-118.5,270.0,bottom
C26,116.4,-118.2,270.0,bottom
C27,132.0,-123.9,180.0,bottom
C28,140.6,-118.0,180.0,bottom
C29,117.6,-119.5,90.0,bottom
C3,141.1,-126.2,0.0,bottom
C30,109.5,-124.3,0.0,bottom
C31,117.6,-125.0,0.0,bottom
C32,119.6,-125.1,270.0,bottom
C33,123.2,-123.8,270.0,bottom
C4,135.2,-125.8,0.0,bottom
C40,133.7,-118.5,0.0,bottom
C5,121.1,-121.5,0.0,top
C6,123.5,-121.8,180.0,top
C7,118.9,-119.0,90.0,top
C9,119.6,-124.9,180.0,top
D1,140.6,-120.3,90.0,top
D11,116.388,-122.5,270.0,top
D2,111.4,-129.5,270.0,bottom
D3,108.9,-128.3,90.0,top
D4,137.2,-112.7,180.0,top
J10,110.9,-121.7,270.0,top
J2,143.9,-122.5,90.0,top
L2,129.6,-128.1,90.0,top
L3,130.8,-120.8,270.0,bottom
Q1,121.8,-119.1,90.0,top
Q2,125.4,-119.1,270.0,top
Q3,134.7,-121.4,90.0,top
Q4,124.5,-125.8,90.0,top
Q5,124.4,-129.7,0.0,top
Q6,132.925,-129.2,0.0,bottom
R1,129.5,-118.7,180.0,top
R10,139.6,-123.7,270.0,top
R11,111.7,-129.7,180.0,top
R12,131.0,-123.4,270.0,top
R14,141.3,-128.8,180.0,bottom
R15,146.1,-123.8,0.0,bottom
R16,146.1,-122.4,0.0,bottom
R17,146.3,-119.1,0.0,bottom
R18,136.95,-127.85,180.0,top
R19,116.4,-124.6,180.0,top
R2,116.6,-118.7,90.0,top
R20,120.3,-128.8,90.0,top
R21,121.2,-131.1,180.0,top
R22,119.3,-131.4,180.0,top
R23,110.5,-127.7,0.0,top
R24,109.5,-130.8,270.0,top
R25,134.6,-112.6,0.0,top
R26,122.2,-119.2,90.0,bottom
R27,123.2,-120.1,270.0,bottom
R28,122.2,-121.1,90.0,bottom
R29,111.7,-128.7,180.0,top
R3,139.6,-120.3,90.0,top
R30,113.5,-131.4,0.0,bottom
R31,115.5,-131.2,0.0,bottom
R33,115.7,-120.2,180.0,bottom
R4,142.0,-124.8,270.0,bottom
R5,139.7,-125.75,270.0,bottom
R6,138.7,-125.95,270.0,bottom
R7,125.5,-122.1,90.0,top
R8,121.1,-123.0,45.0,top
R9,109.3,-129.4,90.0,bottom
U1,140.1,-121.6,0.0,bottom
U2,134.3,-121.0,180.0,bottom
U3,116.4,-128.6,270.0,top
U6,111.9,-121.0,90.0,bottom
U7,121.3875,-124.35,0.0,bottom
